,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamUse_Rate,Electricity_Rate,NaturalGas_Rate,GFABuildingRate,GFAParkingRate,GFALargestPropertyUseRate,TotalUseTypeNumber,BuildingAge
11,1,2,3,47.60713,-122.33323,0.6931471805599453,3.258096538021482,12.716429159281265,8,3.6109179126442243,26941110.0,740.97,0.2010451707920572,0.67121,0.10611,0.5968730362911304,0.168535294821881,0.6983337072472453,0.6931471805599453,18
12,1,2,3,47.60699,-122.33346,0.6931471805599453,2.302585092994046,11.082296383198514,8,3.8918202981106265,6596057.5,328.23,0.22403115727546344,0.20361,0.54528,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,88
13,1,2,3,47.60809,-122.33212,0.6931471805599453,3.5263605246161616,12.66334874732981,8,4.07753744390572,22325364.0,648.62,0.17756023969224416,0.6228,0.18291,0.5975664641638966,0.16747015194132445,0.6602623532241686,1.0986122886681098,36
14,1,2,3,47.60755,-122.33244,0.6931471805599453,2.4849066497880004,11.431617790897278,8,3.58351893845611,10750010.0,511.39,0.3736992053445131,0.3565,0.1904,0.5461831150470438,0.24165122286994942,0.5486934991698751,1.0986122886681098,94
15,2,10,3,47.60649,-122.33297,0.6931471805599453,2.4849066497880004,12.928781055513184,12,,18588860.0,181.38,0.03891297349859843,0.96032,0.0,0.6214631912615028,0.12957984553589447,0.6343044078071565,1.3862943611198906,12
16,1,10,3,47.60546,-122.33279,0.6931471805599453,1.9459101490553132,11.55129966608712,6,,9956396.0,433.86,0.3792922338041411,0.44734,0.09142,0.6931471805599453,0.0,0.6238667677369459,1.3862943611198906,86
17,1,2,3,47.60681,-122.33078,0.6931471805599453,3.367295829986474,12.939118194198793,8,3.4657359027997265,33556756.0,802.89,0.0,0.63252,0.36748,0.585456173637903,0.18580714174533583,0.6080031499025035,1.0986122886681098,33
18,1,8,3,47.60515,-122.33159,0.6931471805599453,1.791759469228055,10.95872250123467,37,,7606084.5,273.02,0.20987187088096018,0.49497,0.27151,0.6931471805599453,0.0,0.25168435984778575,1.791759469228055,109
19,1,2,3,47.60376,-122.33194,0.6931471805599453,2.3978952727983707,11.555534661493144,8,3.6888794541139363,10154608.0,349.32,0.29107132244977685,0.58184,0.0803,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,100
20,1,10,3,47.60265,-122.33051,0.6931471805599453,2.3978952727983707,13.199992713700011,11,4.343805421853684,44984468.0,1265.29,0.0,0.54147,0.45853,0.6931471805599453,0.0,0.690172761357756,0.6931471805599453,100
21,1,10,3,47.60378,-122.32842,0.6931471805599453,2.995732273553991,12.861712644003578,19,,47859812.0,1699.45,0.0,0.38148,0.61852,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,31
22,3,3,11,47.54576,-122.26853,0.6931471805599453,1.0986122886681098,10.937187917027094,9,4.564348191467836,1539478.5,38.53,0.0,0.60862,0.39138,0.6931471805599453,0.0,0.7167709294360398,0.6931471805599453,55
23,1,2,9,47.65959,-122.31755,0.6931471805599453,1.9459101490553132,11.391808126699964,8,4.442651256490317,3663534.5,90.01,0.0,0.61859,0.38141,0.5036499400168951,0.296579869387392,0.5036499400168951,1.0986122886681098,15
24,1,19,3,47.61816,-122.33629,0.6931471805599453,2.0794415416798357,11.748740394204184,2,,11343686.0,388.04,0.0,0.4097,0.5903,0.6931471805599453,0.0,0.6868373151639066,0.6931471805599453,88
25,1,10,3,47.615,-122.33081,0.6931471805599453,1.0986122886681098,11.115800481137065,0,,1310236.625,9.13,0.0,1.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,86
26,1,2,4,47.61301,-122.32929,0.6931471805599453,2.1972245773362196,11.974625968475259,8,,5328051.5,256.57,0.0,0.10741,0.89259,0.5927963178326016,0.17475970458666473,0.536551848336871,1.6094379124341003,25
27,1,2,3,47.61784,-122.32966,0.6931471805599453,2.3978952727983707,12.054476200865155,8,4.060443010546419,11061916.0,328.63,0.0,0.50721,0.49279,0.5750728524820435,0.2010942421172382,0.5596500730619667,0.6931471805599453,15
29,1,2,3,47.61558,-122.34186,0.6931471805599453,1.791759469228055,11.13328890939415,8,4.060443010546419,4456714.5,128.44,0.0,0.52648,0.47352,0.5671246684540232,0.21253548419996396,0.5315454773403308,0.6931471805599453,38
30,3,3,8,47.70994,-122.29301,0.6931471805599453,1.0986122886681098,11.986958465385595,9,4.330733340286331,6779173.0,270.18,0.0,0.28729,0.71271,0.6931471805599453,0.0,0.704240422397898,0.6931471805599453,67
32,1,17,6,47.6641,-122.33118,0.6931471805599453,1.3862943611198906,11.376681826100373,18,,4145920.5,157.77,0.0,0.32631,0.67369,0.6931471805599453,0.0,0.3847180349633752,1.6094379124341003,110
33,1,2,9,47.66583,-122.29965,0.6931471805599453,1.6094379124341003,11.312912331044872,8,3.4011973816621555,6668568.5,215.0,0.0,0.45233,0.54767,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,22
34,1,15,9,47.66172,-122.29598,0.6931471805599453,1.0986122886681098,11.611475844199505,35,,318364.8125,3.93,0.0,0.88347,0.11653,0.6931471805599453,0.0,0.2132063403749752,0.6931471805599453,61
36,1,20,5,47.51138,-122.28875,1.3862943611198906,1.0986122886681098,13.478772686065135,17,,44731160.0,311.84,0.0,1.0,0.0,0.6931471805599453,0.0,0.6219894674934827,1.3862943611198906,55
37,3,3,7,47.65671,-122.39047,0.6931471805599453,1.0986122886681098,10.914852072639958,9,4.584967478670572,1650279.25,31.47,0.0,0.73781,0.26219,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,26
38,3,3,9,47.68252,-122.29498,0.6931471805599453,1.0986122886681098,12.075770319568138,9,4.48863636973214,6399127.5,266.05,0.0,0.24998,0.75002,0.6931471805599453,0.0,0.7137142214999096,0.6931471805599453,66
39,1,17,0,47.66587,-122.38476,0.6931471805599453,1.0986122886681098,11.460589521950299,18,4.060443010546419,6186461.5,130.56,0.0,0.69371,0.30629,0.6931471805599453,0.0,0.46104486912378223,1.0986122886681098,55
40,1,17,5,47.58034,-122.31132,0.6931471805599453,1.0986122886681098,10.869615519257454,18,4.430816798843313,2951331.25,83.86,0.0,0.53527,0.46473,0.6931471805599453,0.0,0.6785308809856658,1.0986122886681098,116
41,1,3,10,47.68891,-122.33553,0.6931471805599453,1.3862943611198906,12.072632677297742,9,4.564348191467836,6994740.5,247.85,0.0,0.38311,0.61689,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,62
42,1,15,3,47.61351,-122.35129,0.6931471805599453,1.3862943611198906,11.164601270548886,35,,2158629.0,45.43,0.0,0.69499,0.30501,0.6931471805599453,0.0,0.43474555446019897,1.3862943611198906,105
43,1,2,3,47.60946,-122.33337,0.6931471805599453,3.2188758248682006,12.713525588195903,8,4.219507705176107,16163194.0,295.33,0.0,0.75507,0.24493,0.32208349916911333,0.4824261492442927,0.7175617057071,0.6931471805599453,47
44,1,5,3,47.6113,-122.33659,0.6931471805599453,1.791759469228055,12.03240949630686,18,4.3694478524670215,9536161.0,66.48,0.0,1.0,0.0,0.6931471805599453,0.0,0.4792296879761701,1.3862943611198906,43
45,1,10,3,47.61076,-122.33765,0.6931471805599453,1.0986122886681098,10.958304681204567,23,,1247362.0,33.26,0.0,0.57316,0.42684,0.6931471805599453,0.0,0.6424221457349731,1.6094379124341003,96
46,1,17,3,47.61048,-122.33794,0.6931471805599453,2.1972245773362196,10.992066340225865,18,2.70805020110221,5071974.0,35.36,0.0,1.0,0.0,0.6931471805599453,0.0,0.46268314979996694,1.0986122886681098,106
47,1,8,3,47.60886,-122.33744,0.6931471805599453,1.0986122886681098,10.869520376305097,21,,15026196.0,584.31,0.0,0.30829,0.69171,0.6931471805599453,0.0,0.3696306550989483,1.3862943611198906,90
48,1,2,3,47.61233,-122.33432,0.6931471805599453,3.044522437723423,11.49918144717797,8,4.276666119016055,4841347.5,59.19,0.0,0.88613,0.11387,0.6408955323612026,0.09696335800645282,0.6138279611056792,1.3862943611198906,86
49,1,2,3,47.61087,-122.33339,0.6931471805599453,3.5553480614894135,13.809706748397092,8,4.1588830833596715,80469216.0,2451.58,0.1346532630924534,0.566,0.28986,0.6165090872705471,0.1376292349880377,0.6931471805599453,1.3862943611198906,34
50,1,2,3,47.60997,-122.34138,0.6931471805599453,2.0794415416798357,11.172559658233004,8,4.59511985013459,5348309.0,134.38,0.0,0.60653,0.39347,0.6931471805599453,0.0,0.458076533379374,1.6094379124341003,31
51,1,2,3,47.61155,-122.34114,0.6931471805599453,2.0794415416798357,11.718401867230671,8,4.605170185988092,5401277.5,227.18,0.0,0.23949,0.76051,0.6931471805599453,0.0,0.5420277352291903,1.3862943611198906,108
52,1,2,6,47.61986,-122.34413,0.6931471805599453,1.791759469228055,11.636681736391475,8,4.465908118654584,5284343.5,144.79,0.0,0.55725,0.44275,0.48492918686981434,0.31913713390927867,0.48492918686981434,1.0986122886681098,57
53,1,2,6,47.62001,-122.34274,0.6931471805599453,2.0794415416798357,11.921412668610715,8,4.442651256490317,6715187.0,199.95,0.0,0.50574,0.49426,0.5704879003237895,0.20772123642666962,0.5393081188413871,0.6931471805599453,16
54,1,2,6,47.62025,-122.34314,0.6931471805599453,1.9459101490553132,11.663936936922068,8,4.394449154672439,5827595.5,162.39,0.0,0.54713,0.45287,0.5639037244387869,0.21710938227961854,0.5658136840917115,0.6931471805599453,19
